gfx,cu_num,M,N,K,q_dtype_w,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx908,120,1,256,5120,torch.int8,0,3,31.231,ck_splitk_tuned,0.08,42.15,Null
gfx908,120,2,256,5120,torch.int8,0,3,31.453,ck_splitk_tuned,0.17,42.03,Null
gfx908,120,4,256,5120,torch.int8,0,3,31.714,ck_splitk_tuned,0.33,42.04,Null
gfx908,120,8,256,5120,torch.int8,0,3,32.258,ck_splitk_tuned,0.65,42.03,Null
gfx908,120,16,256,5120,torch.int8,0,3,33.264,ck_splitk_tuned,1.26,42.11,Null
gfx908,120,32,256,5120,torch.int8,0,3,36.179,ck_splitk_tuned,2.32,41.21,Null
gfx908,120,48,256,5120,torch.int8,0,3,43.23,ck_splitk_tuned,2.91,36.57,Null
gfx908,120,64,256,5120,torch.int8,0,4,100.499,ck_splitk_tuned,1.67,16.63,Null
gfx908,120,80,256,5120,torch.int8,0,4,103.219,ck_splitk_tuned,2.03,17.06,Null
gfx908,120,96,256,5120,torch.int8,0,4,104.445,ck_splitk_tuned,2.41,17.73,Null
gfx908,120,112,256,5120,torch.int8,0,4,106.495,ck_splitk_tuned,2.76,18.23,Null
gfx908,120,128,256,5120,torch.int8,0,4,110.304,ck_splitk_tuned,3.04,18.42,Null
gfx908,120,160,256,5120,torch.int8,0,4,113.917,ck_splitk_tuned,3.68,19.42,Null
gfx908,120,192,256,5120,torch.int8,0,4,114.323,ck_splitk_tuned,4.4,20.92,Null
gfx908,120,256,256,5120,torch.int8,0,4,114.576,ck_splitk_tuned,5.86,24.02,Null
gfx908,120,320,256,5120,torch.int8,0,4,132.315,ck_splitk_tuned,6.34,23.53,Null
gfx908,120,384,256,5120,torch.int8,0,4,137.407,ck_splitk_tuned,7.33,25.28,Null
gfx908,120,512,256,5120,torch.int8,0,3,149.848,ck_splitk_tuned,8.96,27.99,Null
gfx908,120,640,256,5120,torch.int8,0,3,148.332,ck_splitk_tuned,11.31,33.14,Null
gfx908,120,1024,256,5120,torch.int8,0,4,399.321,ck_splitk_tuned,6.72,17.72,Null
gfx908,120,1280,256,5120,torch.int8,0,4,411.989,ck_splitk_tuned,8.14,20.68,Null
gfx908,120,2048,256,5120,torch.int8,0,3,509.593,ck_splitk_tuned,10.54,25.21,Null
gfx908,120,1,512,1536,torch.int8,49,3,8.1563,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,0.19,96.73,0.002
gfx908,120,2,512,1536,torch.int8,49,3,7.9397,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,0.4,99.7,0.0127
gfx908,120,4,512,1536,torch.int8,68,3,8.1511,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v1,0.77,97.74,0.0171
gfx908,120,8,512,1536,torch.int8,68,3,8.1999,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v1,1.53,98.41,0.0161
gfx908,120,12,512,1536,torch.int8,58,2,8.3623,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,2.26,97.72,0.0103
gfx908,120,16,512,1536,torch.int8,59,2,8.2476,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2,3.05,100.32,0.0094
gfx908,120,32,512,1536,torch.int8,78,2,8.9839,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,5.6,96.66,0.0103
gfx908,120,64,512,1536,torch.int8,59,0,9.3829,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2,10.73,101.28,0.0
gfx908,120,128,512,1536,torch.int8,78,0,10.3566,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,19.44,107.58,0.0
gfx908,120,256,512,1536,torch.int8,79,0,14.6847,a8w8_rowwise_128x16x32x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_interwave_v2,27.42,98.18,0.0
gfx908,120,512,512,1536,torch.int8,23,0,19.7599,a8w8_rowwise_256x64x64x512_32x32_1x1_32x8x1_32x8x1_1x32x1x8_8x8x1_1x1_intrawave_v3,40.75,106.13,0.0
gfx908,120,1024,512,1536,torch.int8,22,0,30.0294,a8w8_rowwise_256x64x96x256_16x16_2x3_16x16x1_16x16x1_1x64x1x4_8x8x1_2x1_intrawave_v3,53.63,113.48,0.0
gfx908,120,2048,512,1536,torch.int8,14,0,52.9335,a8w8_rowwise_256x128x96x256_32x32_1x3_16x16x1_16x16x1_1x64x1x4_8x8x1_1x1_intrawave_v3,60.85,113.9,0.0
gfx908,120,1,1024,1536,torch.int8,49,3,8.8966,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,0.35,177.2,0.0146
gfx908,120,1,1024,4352,torch.int8,49,3,12.6647,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,0.7,352.38,0.0117
gfx908,120,1,1024,5120,torch.int8,49,3,13.0054,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,0.81,403.68,0.0176
gfx908,120,2,1024,1536,torch.int8,49,3,8.8324,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,0.71,178.89,0.0137
gfx908,120,2,1024,4352,torch.int8,49,3,12.7147,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,1.4,351.5,0.0156
gfx908,120,2,1024,5120,torch.int8,49,3,13.0397,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,1.61,403.17,0.0161
gfx908,120,4,1024,1536,torch.int8,49,3,8.6764,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,1.45,182.93,0.0139
gfx908,120,4,1024,4352,torch.int8,49,3,12.9581,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,2.75,345.89,0.0171
gfx908,120,4,1024,5120,torch.int8,49,3,13.2176,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,3.17,398.83,0.0164
gfx908,120,8,1024,1536,torch.int8,68,3,9.0119,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v1,2.79,177.71,0.0173
gfx908,120,8,1024,4352,torch.int8,59,2,13.333,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2,5.35,338.08,0.0123
gfx908,120,8,1024,5120,torch.int8,59,3,13.5819,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2,6.18,390.24,0.0168
gfx908,120,12,1024,1536,torch.int8,49,3,8.9415,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,4.22,180.72,0.0164
gfx908,120,12,1024,4352,torch.int8,59,2,13.5768,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v2,7.88,333.9,0.0114
gfx908,120,12,1024,5120,torch.int8,49,3,13.8744,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,9.07,384.08,0.0171
gfx908,120,16,1024,1536,torch.int8,58,0,9.056,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,5.56,180.01,0.0
gfx908,120,16,1024,4352,torch.int8,78,2,14.0908,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,10.12,323.53,0.0103
gfx908,120,16,1024,5120,torch.int8,49,3,13.8282,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_intrawave_v1,12.13,387.44,0.0179
gfx908,120,32,1024,1536,torch.int8,58,0,9.5004,a8w8_rowwise_64x16x16x64_16x16_1x1_4x16x1_4x16x1_1x16x1x4_4x4x1_1x1_intrawave_v2,10.6,177.63,0.0
gfx908,120,32,1024,4352,torch.int8,79,2,17.0684,a8w8_rowwise_128x16x32x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_interwave_v2,16.71,273.09,0.0105
gfx908,120,32,1024,5120,torch.int8,48,3,16.4044,a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v1,20.45,333.58,0.0166
gfx908,120,64,1024,1536,torch.int8,78,0,10.4382,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,19.29,172.66,0.0
gfx908,120,64,1024,4352,torch.int8,47,2,22.5091,a8w8_rowwise_256x64x64x128_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,25.34,216.18,0.0117
gfx908,120,64,1024,5120,torch.int8,74,3,22.5004,a8w8_rowwise_128x64x32x128_32x32_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_interwave_v2,29.83,253.4,0.0171
gfx908,120,128,1024,1536,torch.int8,60,0,14.7303,a8w8_rowwise_128x16x32x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,27.34,137.92,0.0
gfx908,120,128,1024,4352,torch.int8,30,0,31.479,a8w8_rowwise_256x32x64x512_16x16_1x2_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v3,36.24,167.59,0.0
gfx908,120,128,1024,5120,torch.int8,29,2,33.1053,a8w8_rowwise_256x32x96x256_16x16_1x3_16x16x1_16x16x1_1x32x1x8_4x4x1_1x1_intrawave_v3,40.54,186.08,0.0122
gfx908,120,256,1024,1536,torch.int8,23,0,20.599,a8w8_rowwise_256x64x64x512_32x32_1x1_32x8x1_32x8x1_1x32x1x8_8x8x1_1x1_intrawave_v3,39.09,120.9,0.0
gfx908,120,256,1024,4352,torch.int8,23,0,46.7383,a8w8_rowwise_256x64x64x512_32x32_1x1_32x8x1_32x8x1_1x32x1x8_8x8x1_1x1_intrawave_v3,48.82,130.4,0.0
gfx908,120,256,1024,5120,torch.int8,23,0,52.9367,a8w8_rowwise_256x64x64x512_32x32_1x1_32x8x1_32x8x1_1x32x1x8_8x8x1_1x1_intrawave_v3,50.71,133.7,0.0
gfx908,120,512,1024,1536,torch.int8,22,0,29.751,a8w8_rowwise_256x64x96x256_16x16_2x3_16x16x1_16x16x1_1x64x1x4_8x8x1_2x1_intrawave_v3,54.14,114.55,0.0
gfx908,120,512,1024,4352,torch.int8,21,0,83.0331,a8w8_rowwise_256x64x128x256_32x32_1x2_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,54.96,93.13,0.0
gfx908,120,512,1024,5120,torch.int8,47,1,104.1054,a8w8_rowwise_256x64x64x128_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,51.57,85.61,0.0061
gfx908,120,1024,1024,1536,torch.int8,14,0,49.4054,a8w8_rowwise_256x128x96x256_32x32_1x3_16x16x1_16x16x1_1x64x1x4_8x8x1_1x1_intrawave_v3,65.2,106.12,0.0
gfx908,120,1024,1024,4352,torch.int8,14,0,156.8985,a8w8_rowwise_256x128x96x256_32x32_1x3_16x16x1_16x16x1_1x64x1x4_8x8x1_1x1_intrawave_v3,58.17,70.17,0.0
gfx908,120,1024,1024,5120,torch.int8,14,0,184.4778,a8w8_rowwise_256x128x96x256_32x32_1x3_16x16x1_16x16x1_1x64x1x4_8x8x1_1x1_intrawave_v3,58.2,68.21,0.0
gfx908,120,2048,1024,1536,torch.int8,11,0,97.0679,a8w8_rowwise_256x128x160x128_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,66.37,91.82,0.0
gfx908,120,2048,1024,4352,torch.int8,11,0,287.3076,a8w8_rowwise_256x128x160x128_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,63.53,61.13,0.0
gfx908,120,2048,1024,5120,torch.int8,11,0,335.9382,a8w8_rowwise_256x128x160x128_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,63.92,59.31,0.0
gfx908,120,1,1280,1536,torch.int8,78,2,9.0293,a8w8_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,0.44,218.2,0.0109
